genome_id	st	family	carbapenemase	country	study
iU6qbLVcAJ8i2C414QCBri	ST40	negative		NG - Nigeria	PRJEB33565
pbnK26AZXgQgjnJLjZv9wx	ST5241	negative		Nigeria	PRJEB29739
jBBWXA8udJH12wFK6SRUnY	ST234	OXA	OXA-181	SN	PRJEB78995
mU9yEWqCpyz52t5ggREiez	ST17	negative		Nigeria	PRJNA351846
deos3gCFmYQxmsgmjQDH7U	ST867	negative		SN	PRJEB78995
qSJ6YXKzWVB7Hh8TNTP9tA	ST870	negative		SN	PRJEB78995
87PJxck965L12Gh9N8vXp6	ST3260	negative		Senegal	PRJEB29143
3dikTEvbuQAXQaWLF6wGmM	ST2108	negative		Senegal	PRJEB29143
85vFfmMxAWjqo18pNuvhoz	ST395	NDM	NDM-1	Nigeria	PRJEB27707
ptHiVHjPXfRZKwpSphHw3n	ST6	negative		SN	PRJEB78995
8LLpFVCdS1PrSrLbyHVaST	ST86	negative		GH	PRJNA1126843
43FEb4GXdhp3cEAaSbWjBv	ST592	negative		NG - Nigeria	PRJEB33565
uUpNEneKmgYQtETf9ghiUv	ST39	negative		NG - Nigeria	PRJEB33565
c9h9kcdQiPzKhFFe3UtP9v	ST5243	negative		Nigeria	PRJEB29739
u1e4xLvcNu2xvy625KyC2N	ST3275	negative		Senegal	PRJEB29143
aKHZjRjNNmn3HymxZeqUxb	ST152	negative		Senegal	PRJEB29143
cLPoF1A7AnHCaibQsPz2zV	ST277	negative		Senegal	PRJEB29143
jKvEssiC3yAVNGhJtayyUD	ST17	OXA	OXA-181	Ghana	PRJEB37523
v14mp2i8gwWnMRM21sjxpA	ST17	negative		Nigeria	PRJEB29739
m2GtyCCQgQRVk91EqqtwyE	ST340	NDM	NDM-1	Nigeria	PRJEB27707
hoocsxPfXfnsg2XLutMNAK	ST4410	NDM	NDM-1	NG - Nigeria	PRJEB33565
9z1oeZUBBJAF8C3UyBvx4E	ST152	NDM+OXA	NDM-1;OXA-48	Ghana	PRJEB46496
mjYYGyn7pj1GTEgBMVbm57	ST15	negative		Nigeria	PRJEB29739
eb7Qrn3aAFtT9DavapU5Hy	ST502	negative		Senegal	PRJEB29143
2mJG6aY8YTfLy2ghLcMvcU	ST45	negative		NG - Nigeria	PRJEB33565
udYSjTG1qwdx9E8AefFSHg	ST3282	negative		Senegal	PRJEB29143
gnwExAtn8aB3Sh7bHjWrkW	ST1119	negative		NG - Nigeria	PRJEB29739
pkNR3coqAs41UDm1TjHtVx	ST342	negative		Nigeria	PRJEB29739
wGwgZmQ8x9oZcrAjjxfoDy	ST17	OXA	OXA-181	Ghana	PRJEB37523
pcrXU5kynsB1PCESpWGNH4	ST25	negative		GH	PRJNA906096
bjsEga6MiZDiitdb3bdRiH	ST429	negative		Nigeria	PRJNA351846
phs67xfBWNQemLZ4RhzKqc	ST25	negative		Nigeria	PRJEB29739
wLmNuoXQx7aJEsUNtVkqeQ	ST70	negative		Nigeria	PRJEB29739
3DKNa7b6peEvLjs1NJ8Yg9	ST45	negative		Nigeria	PRJNA351846
9FMy9xUJMnFcAwdgXVsANU	ST3688	negative		Nigeria	PRJNA351846
ckAG3EVebxB4xi7aNYvhEA	ST3071	negative		Nigeria	PRJEB29739
83GFGNxEQ55fVsFYZGs5gK	ST185	negative		NG - Nigeria	PRJEB29739
tfFNVKNbmL8cWoRQhNWp59	ST5240	negative		Nigeria	PRJEB29739
