comparison	gene	n_positive_with	n_positive	n_reference_with	n_reference	pct_positive	pct_reference	crude_or	crude_p	cmh_or	cmh_p	n_strata	crude_q	cmh_q
NDM	strB	20	60	220	458	33.3	48.0	0.54	0.03848002989514411	0.64	0.3780282610503094	9	0.07728169991183134	0.6480484475148162
NDM	sul1	49	60	131	458	81.7	28.6	11.12	2.402095102486612e-15	10.29	3.248975442577623e-07	9	1.2353631955645434e-14	1.6709016561827775e-06
NDM	sul2	19	60	255	458	31.7	55.7	0.37	0.000527557847982903	0.45	0.09261870353921409	9	0.001582673543948709	0.2564825636470544
NDM	tet(A)	26	60	120	458	43.3	26.2	2.15	0.008886055734196546	1.29	0.679668544736676	9	0.02132653376207171	0.8628451051028974
NDM	tet(D)	10	60	115	458	16.7	25.1	0.6	0.19845597029228823	0.48	0.25614742415689506	9	0.31062673610966857	0.4952728033238237
OXA	CTX-M-15	38	38	245	458	100.0	53.5	inf	2.2584674631905708e-10	inf	0.24487347310626642	8	8.030106535788696e-10	0.36896605438263597
OXA	LAP-2	1	38	28	458	2.6	6.1	0.42	0.7155743386190287	0.13	1.5639746025680966e-05	8	0.7386573818002877	9.476967938547405e-05
OXA	Mrx	18	38	38	458	47.4	8.3	9.95	3.839206493274957e-09	8.68	0.002672143999321452	8	1.1168600707708967e-08	0.007125717331523872
OXA	OXA-1	7	38	148	458	18.4	32.3	0.47	0.09997804889515804	0.38	0.017708174603771998	8	0.14542261657477534	0.03185019627801423
OXA	SCO-1	0	38	21	458	0.0	4.6	0.0	0.3927546466817442	0.0	0.5064539815952978	8	0.4833903343775313	0.6310655931321909
OXA	aac(3)-IIa	6	38	215	458	15.8	46.9	0.21	0.0001412941852063858	0.26	0.0005452833661173606	8	0.00032295813761459613	0.001744906771575554
OXA	aac(3)-IId	24	38	16	458	63.2	3.5	47.36	8.445250690234854e-21	52.87	1.7769314884776384e-05	8	5.4049604417503066e-20	9.476967938547405e-05
OXA	aac(6')-Ib-cr	8	38	158	458	21.1	34.5	0.51	0.10798696889944051	0.32	0.006103390540211234	8	0.15024273933835203	0.013950606949054247
OXA	aadA	0	38	50	458	0.0	10.9	0.0	0.023579829670729864	0.0	0.552747155559182	8	0.03593116902206456	0.6317110349247794
OXA	aadA1	0	38	15	458	0.0	3.3	0.0	0.6185281751926865	0.0	0.04976525600535494	8	0.6660234373305756	0.0796244096085679
OXA	aadA2	26	38	33	458	68.4	7.2	27.9	2.978568970546718e-18	12.46	1.7679476391420752e-05	8	1.5885701176249164e-17	9.476967938547405e-05
OXA	aph3-Ia	26	38	46	458	68.4	10.0	19.41	1.4602080206098325e-15	1.47	0.8364837816718382	8	6.675236665644949e-15	0.9230165866723732
OXA	arr-3	0	38	12	458	0.0	2.6	0.0	0.6123948028033405	0.0	0.532461594205286	8	0.6660234373305756	0.6310655931321909
OXA	catA1	4	38	55	458	10.5	12.0	0.86	1.0	0.42	0.017915735406383002	8	1.0	0.03185019627801423
OXA	catII.2	15	38	78	458	39.5	17.0	3.18	0.0018146183695545146	6.71	0.027103175649759472	8	0.0034157522250437924	0.04564745372591069
OXA	dfrA1	0	38	23	458	0.0	5.0	0.0	0.24303485866148183	0.0	0.2536641623880622	8	0.31108461908669677	0.36896605438263597
OXA	dfrA12	26	38	19	458	68.4	4.1	50.06	2.648818805764278e-22	13.7	7.143636940161443e-06	8	2.8254067261485633e-21	7.619879402838873e-05
OXA	dfrA14	25	38	166	458	65.8	36.2	3.38	0.0004499030111661958	7.87	0.0035214331015012814	8	0.0009597930904878845	0.008668143019080077
